Rep_s,Test_fold_no,Num_features,learning_rate,convergence_percent,stopping_percent,train_accu,train_roc,test_accu,test_roc,observed_max_test_roc
3,3,32,0.001,1e-05,0.005,0.9416666666666667,0.9772411582434021,0.7777777777777778,0.8968253968253969,0.9523809523809524
3,4,20,0.001,1e-05,0.005,0.8541666666666666,0.9368522278021156,0.8148148148148148,0.9126984126984127,0.9603174603174602
3,5,22,0.001,1e-05,0.005,0.8713692946058091,0.9270157068062826,0.7307692307692307,0.8952380952380952,0.9047619047619049
3,6,11,0.001,1e-05,0.005,0.8381742738589212,0.893717277486911,0.8461538461538461,0.8666666666666667,0.8952380952380953
3,7,5,0.001,1e-05,0.005,0.8008298755186722,0.9027225130890053,0.6153846153846154,0.6952380952380952,0.7047619047619047
3,8,21,0.001,1e-05,0.005,0.921161825726141,0.9585340314136125,0.6538461538461539,0.7047619047619047,0.9142857142857143
3,9,5,0.001,1e-05,0.005,0.8008298755186722,0.8751832460732986,0.9230769230769231,0.8857142857142858,0.8857142857142858
4,0,10,0.001,1e-05,0.005,0.8284518828451883,0.9107411385606875,0.75,0.8712121212121212,0.8787878787878788
4,1,30,0.001,1e-05,0.005,0.9539748953974896,0.9779806659505907,0.8214285714285714,0.553030303030303,0.7272727272727273
4,2,53,0.001,1e-05,0.005,1.0,1.0,0.8148148148148148,0.8968253968253969,0.9285714285714286
4,3,17,0.001,1e-05,0.005,0.85,0.935035794422481,0.8148148148148148,0.9841269841269842,0.9841269841269842
4,4,52,0.001,1e-05,0.005,1.0,1.0,0.7037037037037037,0.7301587301587302,0.9047619047619049
4,5,15,0.001,1e-05,0.005,0.8423236514522822,0.9363350785340314,0.7307692307692307,0.8095238095238095,0.8571428571428572
4,6,35,0.001,1e-05,0.005,0.9377593360995851,0.9769633507853404,0.7307692307692307,0.7142857142857142,0.9619047619047618
4,7,22,0.001,1e-05,0.005,0.8962655601659751,0.9532984293193717,0.7692307692307693,0.8285714285714286,0.9047619047619048
4,8,19,0.001,1e-05,0.005,0.8796680497925311,0.9151832460732985,0.7307692307692307,0.8761904761904762,0.9523809523809523
4,9,11,0.001,1e-05,0.005,0.7925311203319502,0.9019895287958115,0.8076923076923077,0.8380952380952381,0.9238095238095237
